Date,Open,High,Low,Close,Volume,Turnover,Index_Name
2019-01-18,27763.45,27768.6,27335.2,27410.55,130958764.0,29715400000.0,NIFTY NEXT 50
2019-01-21,27441.3,27617.4,27292.25,27322.4,136502965.0,27441900000.0,NIFTY NEXT 50
2019-01-22,27323.2,27452.65,27150.6,27430.75,156924715.0,37419800000.0,NIFTY NEXT 50
2019-01-23,27457.7,27479.35,27227.3,27264.05,130205519.0,36652400000.0,NIFTY NEXT 50
2019-01-24,27300.8,27342.1,27118.4,27232.6,157633445.0,42385200000.00001,NIFTY NEXT 50
2019-01-25,27321.45,27375.45,26751.6,26868.3,162390258.0,41480400000.0,NIFTY NEXT 50
2019-01-28,26868.45,26878.4,26237.25,26372.1,161788804.0,36945400000.0,NIFTY NEXT 50
2019-01-29,26309.55,26491.2,26162.5,26398.8,160200682.0,34125200000.0,NIFTY NEXT 50
2019-01-30,26499.2,26506.65,26264.6,26396.15,155005286.0,34447900000.0,NIFTY NEXT 50
2019-01-31,26500.0,26581.3,26337.1,26555.6,228479498.0,48837500000.0,NIFTY NEXT 50
2019-02-01,26630.05,27046.25,26537.25,26828.2,221881234.0,47636899999.99999,NIFTY NEXT 50
2019-02-04,26820.95,26824.75,26401.05,26588.2,135082848.0,29324200000.0,NIFTY NEXT 50
2019-02-05,26583.55,26642.2,26301.35,26397.75,173479315.0,32092600000.000004,NIFTY NEXT 50
2019-02-06,26488.9,26709.95,26257.0,26639.8,153226523.0,35444600000.0,NIFTY NEXT 50
2019-02-07,26681.85,27011.4,26652.95,26956.15,212181116.0,43424200000.0,NIFTY NEXT 50
2019-02-08,26897.1,26922.6,26498.05,26536.6,175437725.0,33865400000.0,NIFTY NEXT 50
2019-02-11,26486.25,26508.05,26134.5,26240.0,166473702.0,36716200000.0,NIFTY NEXT 50
2019-02-12,26259.25,26336.6,26060.6,26094.4,164251404.0,29550600000.0,NIFTY NEXT 50
2019-02-13,26159.4,26195.6,25787.85,25826.95,149702336.0,34052100000.0,NIFTY NEXT 50
